Date__(UT)_,_HR:MN,,R.,A._,____(I,CRF),___,__DEC,Azi,El,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
2022-Jan-01,13:00,*m,18,46,55.02,-23,0,2.1,126.90271,5.444609,-26.779,-10.589,0.9833457,-0.2965775,0,/?,0,2.5332972,85.435945,-0.57005,n.a.,n.a.
2022-Jan-02,13:00,*m,18,51,19.82,-22,54,51.7,126.762513,5.440165,-26.779,-10.589,0.983337798,-0.2910412,0,/?,0,2.533377,85.002769,-0.559504,n.a.,n.a.
2022-Jan-03,13:00,*,18,55,44.27,-22,49,14,126.61827,5.442144,-26.779,-10.589,0.983333378,-0.2855277,0,/?,0,2.5333723,84.571636,-0.549018,n.a.,n.a.
2022-Jan-04,13:00,*,19,0,8.34,-22,43,8.9,126.470099,5.450592,-26.779,-10.589,0.983332489,-0.2798422,0,/?,0,2.5332863,84.142775,-0.538219,n.a.,n.a.
2022-Jan-05,13:00,*,19,4,31.99,-22,36,36.9,126.318117,5.465552,-26.779,-10.589,0.983335284,-0.2738265,0,/?,0,2.5331275,83.716413,-0.526805,n.a.,n.a.
2022-Jan-06,13:00,*,19,8,55.2,-22,29,37.9,126.162437,5.487061,-26.779,-10.589,0.983341992,-0.2673762,0,/?,0,2.5329075,83.292769,-0.514572,n.a.,n.a.
2022-Jan-07,13:00,*,19,13,17.92,-22,22,12.3,126.003169,5.515144,-26.779,-10.589,0.983352885,-0.2604414,0,/?,0,2.5326382,82.872049,-0.501422,n.a.,n.a.
2022-Jan-08,13:00,*,19,17,40.12,-22,14,20.2,125.840422,5.549823,-26.779,-10.589,0.98336825,-0.2530152,0,/?,0,2.532331,82.454442,-0.48734,n.a.,n.a.
2022-Jan-09,13:00,*,19,22,1.8,-22,6,2,125.674301,5.591107,-26.779,-10.589,0.983388371,-0.2451189,0,/?,0,2.5319953,82.040127,-0.472362,n.a.,n.a.
2022-Jan-10,13:00,*,19,26,22.91,-21,57,17.9,125.504909,5.639001,-26.778,-10.589,0.983413513,-0.2367886,0,/?,0,2.5316388,81.629268,-0.456557,n.a.,n.a.
2022-Jan-11,13:00,*,19,30,43.43,-21,48,8.1,125.332348,5.693505,-26.778,-10.589,0.983443916,-0.2280667,0,/?,0,2.5312676,81.222025,-0.440002,n.a.,n.a.
2022-Jan-12,13:00,*,19,35,3.35,-21,38,32.9,125.156718,5.754612,-26.778,-10.589,0.983479797,-0.2189969,0,/?,0,2.530887,80.818546,-0.422781,n.a.,n.a.
2022-Jan-13,13:00,*,19,39,22.65,-21,28,32.5,124.978116,5.82231,-26.778,-10.589,0.983521348,-0.2096235,0,/?,0,2.5305012,80.418976,-0.404975,n.a.,n.a.
2022-Jan-14,13:00,*,19,43,41.3,-21,18,7.4,124.796638,5.896584,-26.778,-10.589,0.983568731,-0.1999918,0,/?,0,2.5301145,80.023451,-0.386672,n.a.,n.a.
2022-Jan-15,13:00,*,19,47,59.28,-21,7,17.7,124.612379,5.977413,-26.778,-10.589,0.983622086,-0.1901508,0,/?,0,2.5297305,79.632103,-0.367963,n.a.,n.a.
2022-Jan-16,13:00,*,19,52,16.59,-20,56,3.8,124.425428,6.064773,-26.778,-10.589,0.983681517,-0.1801551,0,/?,0,2.5293528,79.245056,-0.348953,n.a.,n.a.
2022-Jan-17,13:00,*,19,56,33.21,-20,44,26,124.235875,6.158634,-26.778,-10.589,0.983747098,-0.1700665,0,/?,0,2.5289844,78.862427,-0.329759,n.a.,n.a.
2022-Jan-18,13:00,*m,20,0,49.12,-20,32,24.6,124.043806,6.258966,-26.778,-10.589,0.983818864,-0.1599554,0,/?,0,2.5286278,78.484327,-0.310517,n.a.,n.a.
2022-Jan-19,13:00,*m,20,5,4.31,-20,19,59.9,123.849305,6.365733,-26.777,-10.589,0.983896805,-0.1499,0,/?,0,2.5282844,78.110858,-0.291374,n.a.,n.a.
2022-Jan-20,13:00,*m,20,9,18.78,-20,7,12.2,123.652452,6.478896,-26.777,-10.589,0.983980865,-0.1399847,0,/?,0,2.5279547,77.742116,-0.272493,n.a.,n.a.
2022-Jan-21,13:00,*m,20,13,32.51,-19,54,2,123.453326,6.598415,-26.777,-10.589,0.984070938,-0.1302983,0,/?,0,2.5276377,77.378188,-0.254044,n.a.,n.a.
2022-Jan-22,13:00,*m,20,17,45.49,-19,40,29.5,123.252005,6.724247,-26.777,-10.589,0.984166864,-0.1209306,0,/?,0,2.527331,77.019156,-0.236199,n.a.,n.a.
2022-Jan-23,13:00,*m,20,21,57.73,-19,26,35,123.048566,6.856346,-26.777,-10.589,0.984268433,-0.1119701,0,/?,0,2.5270305,76.665096,-0.219126,n.a.,n.a.
2022-Jan-24,13:00,*m,20,26,9.2,-19,12,19,122.843085,6.994663,-26.776,-10.589,0.984375383,-0.1034998,0,/?,0,2.5267304,76.316078,-0.202987,n.a.,n.a.
2022-Jan-25,13:00,*m,20,30,19.91,-18,57,41.7,122.635638,7.139146,-26.776,-10.589,0.984487409,-0.0955925,0,/?,0,2.526423,75.972172,-0.18792,n.a.,n.a.
2022-Jan-26,13:00,*m,20,34,29.84,-18,42,43.5,122.426304,7.289742,-26.776,-10.589,0.984604165,-0.0883045,0,/?,0,2.5260987,75.633443,-0.174032,n.a.,n.a.
2022-Jan-27,13:00,*m,20,38,39,-18,27,24.9,122.215165,7.446395,-26.776,-10.589,0.984725282,-0.0816649,0,/?,0,2.5257459,75.299959,-0.161382,n.a.,n.a.
2022-Jan-28,13:00,*m,20,42,47.36,-18,11,46.1,122.002306,7.609048,-26.775,-10.589,0.984850382,-0.0756651,0,/?,0,2.5253518,74.971797,-0.149952,n.a.,n.a.
2022-Jan-29,13:00,*m,20,46,54.94,-17,55,47.6,121.787814,7.77764,-26.775,-10.589,0.984979107,-0.0702478,0,/?,0,2.5249031,74.649038,-0.139634,n.a.,n.a.
2022-Jan-30,13:00,*m,20,51,1.71,-17,39,29.7,121.571782,7.952112,-26.775,-10.589,0.985111146,-0.0653038,0,/?,0,2.5243885,74.331779,-0.130219,n.a.,n.a.
2022-Jan-31,13:00,*m,20,55,7.67,-17,22,52.9,121.3543,8.132402,-26.774,-10.589,0.985246263,-0.0606792,0,/?,0,2.5237998,74.020126,-0.121415,n.a.,n.a.
2022-Feb-01,13:00,*m,20,59,12.82,-17,5,57.6,121.135459,8.318448,-26.774,-10.589,0.985384322,-0.0561957,0,/?,0,2.5231337,73.714189,-0.112881,n.a.,n.a.
2022-Feb-02,13:00,*,21,3,17.15,-16,48,44.2,120.915348,8.510184,-26.774,-10.589,0.985525287,-0.0516781,0,/?,0,2.5223925,73.41408,-0.104283,n.a.,n.a.
