Date__(UT)_,_HR:MN,,R.,A._,____(I,CRF),___,__DEC,Azi____(a-,app)___Elev,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
2022-Jan-01,13:00,*m,18,46,54.99,-22,59,57,116.945002,50.600803,-26.779,-10.589,0.98331689,-0.2767187,0,/?,0,2.5177942,85.39148,-0.535489,n.a.,n.a.
2022-Jan-02,13:00,*m,18,51,19.79,-22,54,46.7,116.763554,50.521978,-26.779,-10.589,0.983309022,-0.2715144,0,/?,0,2.5178842,84.95596,-0.525512,n.a.,n.a.
2022-Jan-03,13:00,*m,18,55,44.24,-22,49,8.9,116.571909,50.446121,-26.779,-10.589,0.983304639,-0.2663279,0,/?,0,2.5178903,84.522494,-0.515585,n.a.,n.a.
2022-Jan-04,13:00,*m,19,0,8.31,-22,43,3.8,116.370195,50.373292,-26.779,-10.589,0.98330379,-0.2609642,0,/?,0,2.5178159,84.091314,-0.505332,n.a.,n.a.
2022-Jan-05,13:00,*m,19,4,31.97,-22,36,31.7,116.158538,50.303539,-26.779,-10.589,0.983306629,-0.2552645,0,/?,0,2.5176694,83.662646,-0.494447,n.a.,n.a.
2022-Jan-06,13:00,*m,19,8,55.17,-22,29,32.8,115.93706,50.236905,-26.779,-10.589,0.983313384,-0.2491243,0,/?,0,2.5174624,83.236711,-0.482727,n.a.,n.a.
2022-Jan-07,13:00,*,19,13,17.89,-22,22,7.1,115.705882,50.173422,-26.779,-10.589,0.983324328,-0.2424931,0,/?,0,2.5172069,82.813715,-0.470072,n.a.,n.a.
2022-Jan-08,13:00,*,19,17,40.1,-22,14,15.1,115.465122,50.11311,-26.779,-10.589,0.983339747,-0.2353639,0,/?,0,2.5169141,82.39385,-0.456466,n.a.,n.a.
2022-Jan-09,13:00,*,19,22,1.77,-22,5,56.9,115.214898,50.055983,-26.779,-10.589,0.983359926,-0.2277577,0,/?,0,2.5165935,81.977293,-0.441946,n.a.,n.a.
2022-Jan-10,13:00,*,19,26,22.88,-21,57,12.7,114.955325,50.002046,-26.779,-10.589,0.983385128,-0.2197103,0,/?,0,2.5162527,81.564212,-0.426579,n.a.,n.a.
2022-Jan-11,13:00,*,19,30,43.41,-21,48,2.9,114.686517,49.951297,-26.778,-10.589,0.983415595,-0.2112638,0,/?,0,2.5158979,81.154765,-0.410444,n.a.,n.a.
2022-Jan-12,13:00,*,19,35,3.33,-21,38,27.6,114.408585,49.903727,-26.778,-10.589,0.983451544,-0.2024617,0,/?,0,2.5155342,80.749103,-0.393623,n.a.,n.a.
