Date__(UT)_,_HR:MN,,R.,A._,____(I,CRF),___,__DEC,Azi,El,APmag,S-brt,delta,deldot,S-O-T,/r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR
$$SOE,,,,,,,,,,,,,,,,,,,,,,
2022-Jan-01,13:00,*m,18,46,55.15,-22,59,59.5,121.335629,15.844874,-26.779,-10.589,0.983338146,-0.378977,0,/?,0,2.5312097,85.498892,-0.727411,n.a.,n.a.
2022-Jan-02,13:00,*m,18,51,19.95,-22,54,49.1,121.201613,15.791276,-26.779,-10.589,0.983330278,-0.3735338,0,/?,0,2.5312845,85.065174,-0.717032,n.a.,n.a.
2022-Jan-03,13:00,*m,18,55,44.4,-22,49,11.3,121.061374,15.742202,-26.779,-10.589,0.983325894,-0.3681171,0,/?,0,2.5312751,84.633483,-0.706724,n.a.,n.a.
2022-Jan-04,13:00,*,19,0,8.47,-22,43,6.3,120.915007,15.697729,-26.779,-10.589,0.983325043,-0.3625319,0,/?,0,2.5311846,84.204047,-0.696114,n.a.,n.a.
2022-Jan-05,13:00,*,19,4,32.12,-22,36,34.2,120.762606,15.657931,-26.779,-10.589,0.983327878,-0.3566198,0,/?,0,2.5310217,83.777094,-0.684899,n.a.,n.a.
2022-Jan-06,13:00,*,19,8,55.32,-22,29,35.2,120.604266,15.622873,-26.779,-10.589,0.983334627,-0.3502764,0,/?,0,2.5307977,83.352843,-0.672873,n.a.,n.a.
2022-Jan-07,13:00,*,19,13,18.04,-22,22,9.6,120.440077,15.592614,-26.779,-10.589,0.983345562,-0.3434516,0,/?,0,2.5305248,82.931497,-0.659939,n.a.,n.a.
2022-Jan-08,13:00,*,19,17,40.25,-22,14,17.6,120.270133,15.5672,-26.779,-10.589,0.983360971,-0.3361385,0,/?,0,2.5302143,82.513249,-0.646079,n.a.,n.a.
2022-Jan-09,13:00,*,19,22,1.92,-22,5,59.4,120.094526,15.546673,-26.779,-10.589,0.983381138,-0.3283581,0,/?,0,2.5298756,82.098274,-0.631329,n.a.,n.a.
2022-Jan-10,13:00,*,19,26,23.03,-21,57,15.2,119.913348,15.531065,-26.778,-10.589,0.983406325,-0.3201465,0,/?,0,2.5295163,81.686739,-0.615756,n.a.,n.a.
2022-Jan-11,13:00,*,19,30,43.56,-21,48,5.4,119.726691,15.520404,-26.778,-10.589,0.983436776,-0.3115459,0,/?,0,2.5291427,81.278802,-0.599438,n.a.,n.a.
2022-Jan-12,13:00,*,19,35,3.48,-21,38,30.2,119.534647,15.514712,-26.778,-10.589,0.983472707,-0.3025999,0,/?,0,2.52876,80.874612,-0.582457,n.a.,n.a.
2022-Jan-13,13:00,*,19,39,22.77,-21,28,29.8,119.337306,15.514003,-26.778,-10.589,0.983514308,-0.2933526,0,/?,0,2.5283725,80.474314,-0.564896,n.a.,n.a.
2022-Jan-14,13:00,*,19,43,41.42,-21,18,4.7,119.134759,15.51829,-26.778,-10.589,0.983561743,-0.2838492,0,/?,0,2.5279843,80.078045,-0.546839,n.a.,n.a.
2022-Jan-15,13:00,*,19,47,59.41,-21,7,15,118.927094,15.527579,-26.778,-10.589,0.98361515,-0.2741385,0,/?,0,2.5275993,79.685937,-0.52838,n.a.,n.a.
2022-Jan-16,13:00,*,19,52,16.71,-20,56,1.1,118.714399,15.541872,-26.778,-10.589,0.983674636,-0.264275,0,/?,0,2.5272208,79.298112,-0.509621,n.a.,n.a.
2022-Jan-17,13:00,*,19,56,33.33,-20,44,23.3,118.496762,15.561166,-26.778,-10.589,0.983740272,-0.2543204,0,/?,0,2.5268521,78.91469,-0.49068,n.a.,n.a.
2022-Jan-18,13:00,*,20,0,49.24,-20,32,21.9,118.274267,15.585455,-26.778,-10.589,0.983812095,-0.2443449,0,/?,0,2.5264954,78.53578,-0.471691,n.a.,n.a.
2022-Jan-19,13:00,*m,20,5,4.43,-20,19,57.2,118.046997,15.614728,-26.777,-10.589,0.983890094,-0.2344264,0,/?,0,2.5261524,78.161485,-0.452803,n.a.,n.a.
2022-Jan-20,13:00,*m,20,9,18.9,-20,7,9.5,117.815033,15.648972,-26.777,-10.589,0.983974213,-0.2246494,0,/?,0,2.5258234,77.791902,-0.434178,n.a.,n.a.
2022-Jan-21,13:00,*m,20,13,32.63,-19,53,59.3,117.578457,15.688168,-26.777,-10.589,0.984064346,-0.2151023,0,/?,0,2.5255075,77.427117,-0.415985,n.a.,n.a.
2022-Jan-22,13:00,*m,20,17,45.62,-19,40,26.7,117.337347,15.732298,-26.777,-10.589,0.984160333,-0.2058751,0,/?,0,2.5252023,77.067213,-0.398396,n.a.,n.a.
2022-Jan-23,13:00,*m,20,21,57.85,-19,26,32.3,117.091784,15.781338,-26.777,-10.589,0.984261964,-0.1970558,0,/?,0,2.5249036,76.712267,-0.381582,n.a.,n.a.
2022-Jan-24,13:00,*m,20,26,9.32,-19,12,16.2,116.841846,15.835265,-26.776,-10.589,0.984368978,-0.1887273,0,/?,0,2.5246058,76.362349,-0.365701,n.a.,n.a.
2022-Jan-25,13:00,*m,20,30,20.03,-18,57,38.9,116.587615,15.89405,-26.776,-10.589,0.984481068,-0.1809624,0,/?,0,2.524301,76.017528,-0.350894,n.a.,n.a.
2022-Jan-26,13:00,*m,20,34,29.96,-18,42,40.8,116.329175,15.957666,-26.776,-10.589,0.984597889,-0.1738171,0,/?,0,2.5239797,75.67787,-0.337268,n.a.,n.a.
2022-Jan-27,13:00,*m,20,38,39.12,-18,27,22.1,116.066613,16.026084,-26.776,-10.589,0.984719072,-0.1673204,0,/?,0,2.5236303,75.343446,-0.324882,n.a.,n.a.
2022-Jan-28,13:00,*m,20,42,47.48,-18,11,43.3,115.800019,16.099274,-26.775,-10.589,0.98484424,-0.1614635,0,/?,0,2.5232399,75.01433,-0.31372,n.a.,n.a.
2022-Jan-29,13:00,*m,20,46,55.06,-17,55,44.8,115.529488,16.177206,-26.775,-10.589,0.984973033,-0.1561889,0,/?,0,2.5227955,74.690606,-0.303673,n.a.,n.a.
2022-Jan-30,13:00,*m,20,51,1.83,-17,39,26.9,115.255116,16.259853,-26.775,-10.589,0.985105141,-0.1513873,0,/?,0,2.5222854,74.37237,-0.294533,n.a.,n.a.
2022-Jan-31,13:00,*m,20,55,7.79,-17,22,50.1,114.977004,16.347184,-26.774,-10.589,0.985240329,-0.1469046,0,/?,0,2.5217015,74.059728,-0.286008,n.a.,n.a.
2022-Feb-01,13:00,*m,20,59,12.95,-17,5,54.8,114.695247,16.43917,-26.774,-10.589,0.985378459,-0.1425624,0,/?,0,2.5210407,73.752792,-0.277756,n.a.,n.a.
2022-Feb-02,13:00,*m,21,3,17.28,-16,48,41.4,114.409942,16.535776,-26.774,-10.589,0.985519496,-0.1381851,0,/?,0,2.5203051,73.451673,-0.269443,n.a.,n.a.
2022-Feb-03,13:00,*,21,7,20.78,-16,31,10.3,114.121181,16.636964,-26.773,-10.589,0.985663499,-0.1336249,0,/?,0,2.5195013,73.156473,-0.260784,n.a.,n.a.
2022-Feb-04,13:00,*,21,11,23.47,-16,13,22,113.829055,16.742689,-26.773,-10.589,0.985810601,-0.1287759,0,/?,0,2.5186386,72.86728,-0.251575,n.a.,n.a.
2022-Feb-05,13:00,*,21,15,25.32,-15,55,16.8,113.53365,16.852896,-26.773,-10.589,0.985960981,-0.1235765,0,/?,0,2.5177275,72.584168,-0.241698,n.a.,n.a.
2022-Feb-06,13:00,*,21,19,26.36,-15,36,55.3,113.235051,16.967527,-26.772,-10.589,0.986114844,-0.1180019,0,/?,0,2.5167778,72.307197,-0.231102,n.a.,n.a.
2022-Feb-07,13:00,*,21,23,26.57,-15,18,17.9,112.933341,17.086513,-26.772,-10.589,0.986272399,-0.1120527,0,/?,0,2.5157982,72.036417,-0.219788,n.a.,n.a.
2022-Feb-08,13:00,*,21,27,25.97,-14,59,24.9,112.628597,17.209782,-26.772,-10.589,0.98643385,-0.1057445,0,/?,0,2.5147963,71.771868,-0.207783,n.a.,n.a.
