*******************************************************************************
 Revised: April 12, 2021                 Earth                              399
 
 GEOPHYSICAL PROPERTIES (revised May 9, 2022):
  Vol. Mean Radius (km)    = 6371.01+-0.02   Mass x10^24 (kg)= 5.97219+-0.0006
  Equ. radius, km          = 6378.137        Mass layers:
  Polar axis, km           = 6356.752          Atmos         = 5.1   x 10^18 kg
  Flattening               = 1/298.257223563   oceans        = 1.4   x 10^21 kg
  Density, g/cm^3          = 5.51              crust         = 2.6   x 10^22 kg
  J2 (IERS 2010)           = 0.00108262545     mantle        = 4.043 x 10^24 kg
  g_p, m/s^2  (polar)      = 9.8321863685      outer core    = 1.835 x 10^24 kg
  g_e, m/s^2  (equatorial) = 9.7803267715      inner core    = 9.675 x 10^22 kg
  g_o, m/s^2               = 9.82022         Fluid core rad  = 3480 km
  GM, km^3/s^2             = 398600.435436   Inner core rad  = 1215 km
  GM 1-sigma, km^3/s^2     =      0.0014     Escape velocity = 11.186 km/s
  Rot. Rate (rad/s)        = 0.00007292115   Surface area:
  Mean sidereal day, hr    = 23.9344695944     land          = 1.48 x 10^8 km
  Mean solar day 2000.0, s = 86400.002         sea           = 3.62 x 10^8 km
  Mean solar day 1820.0, s = 86400.0         Love no., k2    = 0.299
  Moment of inertia        = 0.3308          Atm. pressure   = 1.0 bar
  Mean surface temp (Ts), K= 287.6           Volume, km^3    = 1.08321 x 10^12
  Mean effect. temp (Te), K= 255             Magnetic moment = 0.61 gauss Rp^3
  Geometric albedo         = 0.367           Vis. mag. V(1,0)= -3.86
  Solar Constant (W/m^2)   = 1367.6 (mean), 1414 (perihelion), 1322 (aphelion)
 HELIOCENTRIC ORBIT CHARACTERISTICS:
  Obliquity to orbit, deg  = 23.4392911  Sidereal orb period  = 1.0000174 y
  Orbital speed, km/s      = 29.79       Sidereal orb period  = 365.25636 d
  Mean daily motion, deg/d = 0.9856474   Hill's sphere radius = 234.9       
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Feb 28 06:41:49 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1716-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2023-Jan-01 00:00:00.0000 TDB
Step-size       : 1 calendar months
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2347815.500000000, A.D. 1716-Jan-01 00:00:00.0000, -2.342429954150675E-01,  9.548996310447952E-01,  6.033286960948098E-04,
2347846.500000000, A.D. 1716-Feb-01 00:00:00.0000, -7.010494392019513E-01,  6.931516471952586E-01,  4.131077717394466E-04,
2347875.500000000, A.D. 1716-Mar-01 00:00:00.0000, -9.562166279303377E-01,  2.641061857272809E-01,  1.242855078267670E-04,
2347906.500000000, A.D. 1716-Apr-01 00:00:00.0000, -9.650124293931165E-01, -2.647136163555047E-01, -2.165773258646440E-04,
2347936.500000000, A.D. 1716-May-01 00:00:00.0000, -7.180706157055120E-01, -7.085768074771206E-01, -4.914055837695088E-04,
2347967.500000000, A.D. 1716-Jun-01 00:00:00.0000, -2.721835706750613E-01, -9.776141230260601E-01, -6.448168175309253E-04,
2347997.500000000, A.D. 1716-Jul-01 00:00:00.0000,  2.299932617344418E-01, -9.904276172647652E-01, -6.295809266162073E-04,
2348028.500000000, A.D. 1716-Aug-01 00:00:00.0000,  6.875129747865422E-01, -7.458476860812009E-01, -4.499971987993934E-04,
2348059.500000000, A.D. 1716-Sep-01 00:00:00.0000,  9.615451139729011E-01, -3.026800262961519E-01, -1.498451737378817E-04,
2348089.500000000, A.D. 1716-Oct-01 00:00:00.0000,  9.784363992723493E-01,  2.053669769461967E-01,  1.794561529593478E-04,
2348120.500000000, A.D. 1716-Nov-01 00:00:00.0000,  7.285961742122891E-01,  6.720139736430434E-01,  4.696192912088626E-04,
2348150.500000000, A.D. 1716-Dec-01 00:00:00.0000,  2.884202422869704E-01,  9.420257129618266E-01,  6.225363892948980E-04,
2348181.500000000, A.D. 1717-Jan-01 00:00:00.0000, -2.468420491566671E-01,  9.516649920025129E-01,  6.017813987292141E-04,
2348212.500000000, A.D. 1717-Feb-01 00:00:00.0000, -7.101925685520082E-01,  6.839103024372946E-01,  4.044698092670238E-04,
2348240.500000000, A.D. 1717-Mar-01 00:00:00.0000, -9.549566058556325E-01,  2.683256210560548E-01,  1.245433360618419E-04,
2348271.500000000, A.D. 1717-Apr-01 00:00:00.0000, -9.661188877062468E-01, -2.604622720286390E-01, -2.180667259262389E-04,
2348301.500000000, A.D. 1717-May-01 00:00:00.0000, -7.211412965730505E-01, -7.054220202940304E-01, -4.924704742312307E-04,
2348332.500000000, A.D. 1717-Jun-01 00:00:00.0000, -2.764480341200276E-01, -9.764344124416430E-01, -6.436071531841584E-04,
2348362.500000000, A.D. 1717-Jul-01 00:00:00.0000,  2.256669027758620E-01, -9.914613930333169E-01, -6.266195875727879E-04,
2348393.500000000, A.D. 1717-Aug-01 00:00:00.0000,  6.842721989541777E-01, -7.489112800834682E-01, -4.455677038564959E-04,
2348424.500000000, A.D. 1717-Sep-01 00:00:00.0000,  9.602841079364508E-01, -3.069566846973325E-01, -1.468833665421465E-04,
