*******************************************************************************
JPL/HORIZONS                      1P/Halley                2023-Feb-26 12:05:47
Rec #:90000030        Soln.date: 2022-Jun-07_13:24:35   # obs: 8548 (1835-1994)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339
   A= 17.92781773504393    MA= 274.1404919498392   ADIST= 35.28091967232027
   PER= 75.91006173829101  N= .012984132           ANGMOM= .018294235
   DAN= 1.7857             DDN= .82759             L= 305.8527835
   B= 16.4455591           MOID= .0752736          TP= 1986-Feb-08.6488983454
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 5.5
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#73, data arc: 1835-08-21 to 1994-01-11
2: k1=8.0, k2=5.0, phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Sun Feb 26 12:05:47 2023 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 1P/Halley                       {source: JPL#73}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODYCENTRIC
*******************************************************************************
Start time      : A.D. 1910-Jan-01 00:00:00.0000 UT      
Stop  time      : A.D. 1987-Jan-01 00:00:00.0000 UT      
Step-size       : 43200 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : 5.5 km                                                       
Center geodetic : 0.0, 0.0, -6.96E5               {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude positive}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}       
Target primary  : Sun
Vis. interferer : None
Rel. light bend : Sun                             {source: DE441}
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                          
Small-body perts: Yes                             {source: SB441-N16}
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL 
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.230224.p230519                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2023-FEB-24. PREDICTS-> 2023-MAY-18
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s 
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass     n.a.    , Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
Table format    : Comma Separated Values (spreadsheet)
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.                  
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454      
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.333580711037850E+01  Y= 2.543805202833605E+01  Z= 2.636800024594010E+00
  VX= 1.415824036915183E-03 VY=-1.416718165237950E-03 VZ= 4.194435401575923E-05
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 5.5                                            
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
************************************************************************************************************************************************************************************************
 Date__(UT)__HR:MN, , , R.A._(ICRF), DEC__(ICRF),    T-mag,  N-mag,             delta,     deldot,     S-O-T,/r,     S-T-O,  Tru_Anom,  Sky_motion, Sky_mot_PA, RelVel-ANG, Lun_Sky_Brt  sky_SNR
************************************************************************************************************************************************************************************************
$$SOE
 1910-Jan-01 00:00, , , 04 06 12.44, +19 19 43.0,    9.533, 16.702,  2.04264286314491,-23.9497491,    0.0000,/*,    0.0030,  243.3097,   0.6347169,  294.79889,  -56.80064,        n.a.     n.a.
 1910-Jan-31 00:00, , , 03 25 28.76, +20 10 50.6,    8.200, 15.677,  1.61326380083253,-25.6249640,    0.0000,/*,    0.0038,  252.9301,   1.0175606,  294.48119,  -52.24669,        n.a.     n.a.
 1910-Mar-02 00:00, , , 02 13 02.31, +20 14 17.0,    6.322, 14.233,  1.15681702283589,-26.8055992,    0.0000,/*,    0.0053,  269.9180,   1.9790014,  292.41824,  -44.08759,        n.a.     n.a.
 1910-Apr-01 00:00, , , 23 32 10.21, +13 49 03.0,    3.639, 12.169,  0.71920945496611,-20.8878184,    0.0000,/*,    0.0085,  308.8091,   5.1199458,  280.78453,  -25.13928,        n.a.     n.a.
 1910-May-01 00:00, , , 18 15 47.47, -12 52 24.6,    2.921, 11.617,  0.63331709208990, 14.0366330,    0.0000,/*,    0.0097,   31.5773,   6.6028910,  248.51474,  15.519385,        n.a.     n.a.
 1910-May-31 00:00, , , 14 44 09.26, -20 26 35.4,    5.654, 13.718,  1.02758506455567, 26.5839455,    0.0000,/*,    0.0060,   82.6229,   2.5080706,  246.46083,  40.474851,        n.a.     n.a.
 1910-Jun-30 00:00, , , 13 16 08.15, -18 58 30.4,    7.745, 15.327,  1.48822105792322, 26.0790775,    0.0000,/*,    0.0041,  103.3742,   1.1957573,  250.56716,  50.482982,        n.a.     n.a.
 1910-Jul-30 00:00, , , 12 30 15.31, -17 08 10.7,    9.200, 16.446,  1.92566135866543, 24.4063600,    0.0000,/*,    0.0032,  114.4310,   0.7141949,  253.87957,  55.739273,        n.a.     n.a.
 1910-Aug-29 00:00, , , 12 01 31.63, -15 37 38.0,   10.287, 17.283,  2.33477256814137, 22.8608422,    0.0000,/*,    0.0026,  121.4855,   0.4858214,  256.36603,  59.046327,        n.a.     n.a.
 1910-Sep-28 00:00, , , 11 41 26.65, -14 25 01.4,   11.148, 17.944,  2.71919471150321, 21.5546364,    0.0000,/*,    0.0022,  126.4864,   0.3581476,  258.28579,  61.358909,        n.a.     n.a.
 1910-Oct-28 00:00, , , 11 26 22.80, -13 25 47.0,   11.856, 18.490,  3.08284322053602, 20.4550631,    0.0000,/*,    0.0020,  130.2774,   0.2786158,  259.81793,  63.088516,        n.a.     n.a.
 1910-Nov-27 00:00, , , 11 14 31.34, -12 36 24.7,   12.457, 18.952,  3.42891485851884, 19.5187995,    0.0000,/*,    0.0018,  133.2857,   0.2251943,  261.07565,  64.442855,        n.a.     n.a.
 1910-Dec-27 00:00, , , 11 04 51.42, -11 54 27.9,   12.977, 19.352,  3.75992008565447, 18.7106140,    0.0000,/*,    0.0016,  135.7534,   0.1872732,  262.13193,  65.539251,        n.a.     n.a.
 1911-Jan-26 00:00, , , 10 56 46.10, -11 18 14.1,   13.436, 19.704,  4.07783606192663, 18.0038952,    0.0000,/*,    0.0015,  137.8291,   0.1591979,  263.03549,  66.449409,        n.a.     n.a.
 1911-Feb-25 00:00, , , 10 49 51.53, -10 46 30.4,   13.845, 20.019,  4.38424025311863, 17.3787988,    0.0000,/*,    0.0014,  139.6091,   0.1377141,  263.82027,  67.219824,        n.a.     n.a.
 1911-Mar-27 00:00, , , 10 43 51.54, -10 18 23.7,   14.214, 20.303,  4.68041120381837, 16.8203625,    0.0000,/*,    0.0013,  141.1599,   0.1208301,  264.51053,  67.882299,        n.a.     n.a.
 1911-Apr-26 00:00, , , 10 38 34.69, -09 53 14.3,   14.550, 20.561,  4.96739998857950, 16.3171026,    0.0000,/*,    0.0012,  142.5282,   0.1072677,  265.12405,  68.459182,        n.a.     n.a.
 1911-May-26 00:00, , , 10 33 52.70, -09 30 32.1,   14.858, 20.798,  5.24608265928441, 15.8601875,    0.0000,/*,    0.0012,  143.7479,   0.0961732,  265.67458,  68.966763,        n.a.     n.a.
 1911-Jun-25 00:00, , , 10 29 39.32, -09 09 53.4,   15.142, 21.017,  5.51719963511810, 15.4426659,    0.0000,/*,    0.0011,  144.8452,   0.0869550,  266.17269,  69.417547,        n.a.     n.a.
