*******************************************************************************
JPL/HORIZONS                      1P/Halley                2023-Feb-28 05:44:35
Rec #:90000030        Soln.date: 2022-Jun-07_13:24:35   # obs: 8548 (1835-1994)
 
IAU76/J2000 helio. ecliptic osc. elements (au, days, deg., period=Julian yrs):
 
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339
   A= 17.92781773504393    MA= 274.1404919498392   ADIST= 35.28091967232027
   PER= 75.91006173829101  N= .012984132           ANGMOM= .018294235
   DAN= 1.7857             DDN= .82759             L= 305.8527835
   B= 16.4455591           MOID= .0752736          TP= 1986-Feb-08.6488983454
 
Comet physical (GM= km^3/s^2; RAD= km):
   GM= n.a.                RAD= 5.5
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030
 
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au):
   AMRAT=  0.                                      DT=  0.
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.
 Standard model:
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808
 
COMET comments 
1: soln ref.= JPL#73, data arc: 1835-08-21 to 1994-01-11
2: k1=8.0, k2=5.0, phase coef.=0.03;
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Tue Feb 28 05:44:35 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: 1P/Halley                       {source: JPL#73}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1910-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 1987-Jan-01 00:00:00.0000 TDB
Step-size       : 43200 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Small perturbers: Yes                             {source: SB441-N16}
Output units    : AU-D
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
Initial IAU76/J2000 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2439857.5 ! 1968-Jan-02.0000000 (TDB)    RMSW= n.a.                  
   EC= .9679427911271      QR= .5747157977675837   TP= 2446470.1488983454      
   OM= 59.11448293673941   W= 112.257792004868     IN= 162.1878711908339       
  Equivalent ICRF heliocentric cartesian coordinates (au, au/d):
   X=-1.333580711037850E+01  Y= 2.543805202833605E+01  Z= 2.636800024594010E+00
  VX= 1.415824036915183E-03 VY=-1.416718165237950E-03 VZ= 4.194435401575923E-05
Comet physical (GM= km^3/s^2; RAD= km):                                        
   GM= n.a.                RAD= 5.5                                            
   M1=  5.5      M2=  13.6     k1=  8.     k2=  5.      PHCOF=  .030           
Comet non-gravitational force model (AMRAT=m^2/kg;A1-A3=au/d^2;DT=days;R0=au): 
   AMRAT=  0.                                      DT=  0.                     
   A1= 4.823267459869E-10  A2= 1.554713398218E-10  A3= 0.                      
 Standard model:                                                               
   ALN=  .1112620426   NK=  4.6142   NM=  2.15     NN=  5.093    R0=  2.808    
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2418672.500000000, A.D. 1910-Jan-01 00:00:00.0000,  9.182133652496213E-01,  1.823655697097619E+00, -5.380421813382884E-02,
2418702.500000000, A.D. 1910-Jan-31 00:00:00.0000,  9.453173340036705E-01,  1.306501827577317E+00,  4.012054855200740E-02,
2418732.500000000, A.D. 1910-Mar-02 00:00:00.0000,  9.075834533282474E-01,  7.051838389959394E-01,  1.303806534988613E-01,
2418762.500000000, A.D. 1910-Apr-01 00:00:00.0000,  6.932013637119204E-01, -9.393352053808403E-03,  1.912487981676967E-01,
2418792.500000000, A.D. 1910-May-01 00:00:00.0000,  4.240918437341158E-02, -6.212745989143115E-01,  1.155250475391234E-01,
2418822.500000000, A.D. 1910-May-31 00:00:00.0000, -7.263907961960782E-01, -7.227777093925385E-01, -7.786419053178362E-02,
2418852.500000000, A.D. 1910-Jun-30 00:00:00.0000, -1.330557064595666E+00, -6.135481973492369E-01, -2.614529142711232E-01,
2418882.500000000, A.D. 1910-Jul-30 00:00:00.0000, -1.824329537582190E+00, -4.478626730397913E-01, -4.242743829774279E-01,
2418912.500000000, A.D. 1910-Aug-29 00:00:00.0000, -2.248594018427448E+00, -2.638385739739411E-01, -5.711391891596818E-01,
2418942.500000000, A.D. 1910-Sep-28 00:00:00.0000, -2.625123032842878E+00, -7.378488592953961E-02, -7.059452148857516E-01,
2418972.500000000, A.D. 1910-Oct-28 00:00:00.0000, -2.966531455963967E+00,  1.174321394233406E-01, -8.313302740495484E-01,
2419002.500000000, A.D. 1910-Nov-27 00:00:00.0000, -3.280779180909531E+00,  3.076547966940307E-01, -9.491121986017326E-01,
2419032.500000000, A.D. 1910-Dec-27 00:00:00.0000, -3.573234770422426E+00,  4.958735944869849E-01, -1.060591897393651E+00,
2419062.500000000, A.D. 1911-Jan-26 00:00:00.0000, -3.847708685276757E+00,  6.816170002937383E-01, -1.166734210584414E+00,
2419092.500000000, A.D. 1911-Feb-25 00:00:00.0000, -4.107015258205212E+00,  8.646841577680855E-01, -1.268276805755544E+00,
2419122.500000000, A.D. 1911-Mar-27 00:00:00.0000, -4.353301209499784E+00,  1.045016178098784E+00, -1.365798143971832E+00,
2419152.500000000, A.D. 1911-Apr-26 00:00:00.0000, -4.588246650470933E+00,  1.222630070771799E+00, -1.459761739767076E+00,
2419182.500000000, A.D. 1911-May-26 00:00:00.0000, -4.813195104587499E+00,  1.397584715282437E+00, -1.550545740612696E+00,
2419212.500000000, A.D. 1911-Jun-25 00:00:00.0000, -5.029242078910571E+00,  1.569960624343920E+00, -1.638463382757944E+00,
2419242.500000000, A.D. 1911-Jul-25 00:00:00.0000, -5.237294641432742E+00,  1.739847602406351E+00, -1.723777720131388E+00,
2419272.500000000, A.D. 1911-Aug-24 00:00:00.0000, -5.438113642239401E+00,  1.907338760237737E+00, -1.806712221225630E+00,
2419302.500000000, A.D. 1911-Sep-23 00:00:00.0000, -5.632345107944826E+00,  2.072526032934717E+00, -1.887458675542214E+00,
2419332.500000000, A.D. 1911-Oct-23 00:00:00.0000, -5.820541896091520E+00,  2.235497927269738E+00, -1.966183321743334E+00,
2419362.500000000, A.D. 1911-Nov-22 00:00:00.0000, -6.003180905335646E+00,  2.396340094684366E+00, -2.043031368097460E+00,
2419392.500000000, A.D. 1911-Dec-22 00:00:00.0000, -6.180677649920862E+00,  2.555134708679664E+00, -2.118130538688472E+00,
