period,period_dot,class
0.004687524,9.679E-21,STAR
0.021766108,2.9E-14,STAR
0.016122222,5.17843E-14,STAR
0.247525,2.84E-14,STAR
0.120482,4.05E-15,STAR
0.100604,4.41E-14,STAR
0.440590724,3.26951E-12,STAR
0.138157778,8.88351E-15,STAR
0.1097407,2.768E-14,STAR
0.340967852,9.6836E-14,STAR
0.062800077,8.6E-15,STAR
0.110573012,1.69394E-13,STAR
0.114943,7.93E-14,STAR
0.103150638,2.52704E-14,STAR
0.10667,1.952E-13,STAR
0.194938267,2.18372E-14,STAR
0.060533,3.02E-15,STAR
0.620365031,1.00581E-13,STAR
0.11584261,3.05E-14,STAR
0.355686622,2.47586E-14,STAR
0.15873,1.17E-14,STAR
0.111472434,3.83749E-13,STAR
0.139028891,5.4628E-14,STAR
0.102135981,3.1239E-14,STAR
0.003238,1.21E-20,STAR
0.273973,2.76E-15,STAR
0.091996,9.56E-16,STAR
0.00236,,STAR
0.175106268,3.70111E-15,STAR
0.424130749,2.224E-17,STAR
0.17928,1.062E-14,STAR
0.206612,1.17E-16,STAR
0.085072146,4.16118E-15,STAR
0.171934652,1.04879E-14,STAR
0.206443048,9.76E-13,STAR
0.127122893,1.51447E-14,STAR
0.00212,,STAR
0.112799455,9.3E-18,STAR
0.08414,,STAR
0.167861145,4.72489E-15,STAR
0.00245,,STAR
0.00365,1.72E-21,STAR
0.00237,,STAR
0.347222,6.56E-14,STAR
0.143266,1.27E-15,STAR
0.19954136,6.56093E-15,STAR
0.048072247,1.75637E-14,STAR
0.003424,1.33E-20,STAR
0.00249,,STAR
0.146788548,3.44207E-14,STAR
0.106332094,1.95139E-14,STAR
0.064667,4.4E-14,STAR
0.149744039,2.05811E-14,STAR
0.15625,1.22E-14,STAR
0.49918661,4.53351E-14,STAR
0.00431,,STAR
0.110223702,1.21451E-13,STAR
0.00224,1.096E-20,STAR
0.104912611,8.68E-18,STAR
0.070498244,4.925E-14,STAR
0.14570774,4.7179E-13,STAR
0.11285465,1.54703E-13,STAR
6.97127,,STAR
0.326571288,7.10745E-12,STAR
0.001967682,2.402E-21,STAR
0.038522586,1.41565E-14,STAR
0.033856495,,STAR
0.297395191,7.9592E-14,STAR
0.111524136,3.5879E-14,STAR
0.225551453,9.93E-15,STAR
0.00418,,STAR
0.00589,4.832E-17,STAR
0.00152,,STAR
0.208214904,9.31735E-14,STAR
0.00463,,STAR
0.319561175,4.08E-15,STAR
0.092709055,2.1163E-14,STAR
0.290389245,2.12038E-13,STAR
0.464960966,1.42603E-13,STAR
0.00209,,STAR
0.444104499,1.3037E-14,STAR
0.00218,,STAR
0.176707415,4.85753E-15,STAR
0.00211,,STAR
0.166749179,1.35985E-15,STAR
0.333208232,2.54237E-14,STAR
0.265317661,5.4682E-14,STAR
0.227070177,6.4843E-15,STAR
0.157829925,1.43039E-13,STAR
0.282849345,1.7857E-15,STAR
0.374806224,7.08E-15,STAR
0.079427232,1.67336E-14,STAR
0.162733853,9.7034E-14,STAR
0.315873191,3.6039E-13,STAR
0.058199071,3.29134E-15,STAR
