period,period_dot,class
1.077332701,2.9E-16,RADIO PULSAR
1.279193194,1.86E-15,RADIO PULSAR
2.280597196,3.67E-15,RADIO PULSAR
1.347403776,1.3291E-15,RADIO PULSAR
0.525074239,2.817E-15,RADIO PULSAR
0.353602533,1.6E-16,RADIO PULSAR
1.306197812,1.204E-15,RADIO PULSAR
1.75531108,1.363E-15,RADIO PULSAR
0.545254187,1.5438E-15,RADIO PULSAR
1.245856133,5.777E-16,RADIO PULSAR
1.191023997,1.88E-15,RADIO PULSAR
0.191444328,,RADIO PULSAR
,,RADIO PULSAR
0.549553679,4.6141E-16,RADIO PULSAR
0.327057738,3.651E-16,RADIO PULSAR
0.278729444,6.74E-18,RADIO PULSAR
4.878838526,6.06E-15,RADIO PULSAR
0.926275905,4.4632E-15,RADIO PULSAR
0.93742937,,RADIO PULSAR
0.348124046,1.7614E-15,RADIO PULSAR
0.325883016,4.859E-15,RADIO PULSAR
1.362890351,3.273E-16,RADIO PULSAR
0.003676643,-3.8419E-20,RADIO PULSAR
0.003536329,9.85103E-20,RADIO PULSAR
0.004554447,-4.54E-21,RADIO PULSAR
0.004346168,-1.22045E-19,RADIO PULSAR
0.002643343,3.03493E-20,RADIO PULSAR
0.004810168,,RADIO PULSAR
0.00184,,RADIO PULSAR
0.003480463,1.48352E-19,RADIO PULSAR
0.002352345,-8.65526E-20,RADIO PULSAR
0.003704639,9.82E-21,RADIO PULSAR
0.005357573,-3.422E-21,RADIO PULSAR
0.002623579,6.45029E-20,RADIO PULSAR
0.002830406,-1.20541E-19,RADIO PULSAR
0.002196657,-3.51721E-20,RADIO PULSAR
0.827838086,5.96E-15,RADIO PULSAR
0.004040379,-4.21584E-20,RADIO PULSAR
0.003484992,-4.5874E-20,RADIO PULSAR
0.00758848,2.93805E-19,RADIO PULSAR
0.00575678,-4.98503E-20,RADIO PULSAR
0.003053954,-2.1857E-20,RADIO PULSAR
0.004033181,3.4008E-20,RADIO PULSAR
0.003643021,6.6E-19,RADIO PULSAR
0.003210341,-1.8294E-21,RADIO PULSAR
0.00374,,RADIO PULSAR
0.00274,,RADIO PULSAR
0.004342827,9.52279E-20,RADIO PULSAR
0.002100634,-9.7917E-21,RADIO PULSAR
0.341402932,8.4E-17,RADIO PULSAR
0.014841952,1.56292E-20,RADIO PULSAR
0.738062443,1E-16,RADIO PULSAR
0.004771523,1.8361E-20,RADIO PULSAR
0.341336406,1.97609E-16,RADIO PULSAR
0.002338514,2.21387E-21,RADIO PULSAR
0.688541512,7.092E-15,RADIO PULSAR
0.3225,,RADIO PULSAR
1.286014595,8.2E-16,RADIO PULSAR
0.212378,,RADIO PULSAR
0.026309677,6.3E-20,RADIO PULSAR
3.6512,,RADIO PULSAR
0.6323358,2.49E-15,RADIO PULSAR
0.479163971,3.371E-15,RADIO PULSAR
0.800132073,3.67E-14,RADIO PULSAR
0.463473742,1.2E-16,RADIO PULSAR
0.33341071,1.4513E-15,RADIO PULSAR
0.528590779,8.4E-16,RADIO PULSAR
0.320422712,1.02119E-14,RADIO PULSAR
0.231390388,,RADIO PULSAR
