period,period_dot,class
0.003408,,X-RAY PULSATOR
0.003597898,1.043E-20,X-RAY PULSATOR
0.050569703,4.78909E-13,X-RAY PULSATOR
0.00296,,X-RAY PULSATOR
0.002872006,4.6463E-20,X-RAY PULSATOR
0.166108328,3.60184E-13,X-RAY PULSATOR
0.002573152,5.16E-21,X-RAY PULSATOR
0.216479798,4.95328E-15,X-RAY PULSATOR
0.031181601,3.89E-14,X-RAY PULSATOR
0.001999,1.426E-20,X-RAY PULSATOR
0.050051946,3.2E-14,X-RAY PULSATOR
0.407962984,4.02022E-12,X-RAY PULSATOR
0.101633196,1.02784E-14,X-RAY PULSATOR
0.068179877,8.3167E-14,X-RAY PULSATOR
0.099660833,2.95322E-14,X-RAY PULSATOR
0.002630381,3.73132E-21,X-RAY PULSATOR
0.135476854,7.52566E-13,X-RAY PULSATOR
0.151581943,1.52869E-12,X-RAY PULSATOR
0.088924863,9.16633E-15,X-RAY PULSATOR
0.123725343,9.61217E-14,X-RAY PULSATOR
0.003102214,6.0899E-20,X-RAY PULSATOR
0.255496327,2.09963E-15,X-RAY PULSATOR
0.091403231,1.61E-14,X-RAY PULSATOR
0.16249871,2.0077E-14,X-RAY PULSATOR
0.002650907,1.4164E-20,X-RAY PULSATOR
0.084206064,1.37939E-14,X-RAY PULSATOR
0.028634888,1.418E-19,X-RAY PULSATOR
0.00251,,X-RAY PULSATOR
0.087545204,3.28683E-14,X-RAY PULSATOR
0.00271,,X-RAY PULSATOR
0.002439296,1.1154E-20,X-RAY PULSATOR
0.0021867,6.89656E-21,X-RAY PULSATOR
0.19711469,5.8387E-15,X-RAY PULSATOR
0.0017424,9.1993E-21,X-RAY PULSATOR
0.069356847,1.351E-13,X-RAY PULSATOR
0.004842757,6.065E-21,X-RAY PULSATOR
0.00531255,1.4191E-20,X-RAY PULSATOR
0.231693836,4.94943E-13,X-RAY PULSATOR
0.003079914,2.11895E-20,X-RAY PULSATOR
0.003589337,1.8646E-20,X-RAY PULSATOR
0.106769037,1.51025E-14,X-RAY PULSATOR
0.001686375,1.11E-20,X-RAY PULSATOR
0.829828785,1.63626E-13,X-RAY PULSATOR
0.002011953,1.411E-20,X-RAY PULSATOR
0.005757452,5.72922E-20,X-RAY PULSATOR
0.002194696,9.8075E-21,X-RAY PULSATOR
0.005931367,3.1E-21,X-RAY PULSATOR
0.089328385,1.25008E-13,X-RAY PULSATOR
0.102459246,9.29845E-14,X-RAY PULSATOR
0.320270822,2.04203E-15,X-RAY PULSATOR
0.002664216,,X-RAY PULSATOR
0.003101,,X-RAY PULSATOR
0.182135803,5.23448E-14,X-RAY PULSATOR
0.00164561,1.3142E-20,X-RAY PULSATOR
0.00296,,X-RAY PULSATOR
0.00187,1.773E-20,X-RAY PULSATOR
0.074669921,1.32217E-14,X-RAY PULSATOR
0.00241,5.8E-21,X-RAY PULSATOR
0.00327,8.426E-21,X-RAY PULSATOR
0.002560371,2.0964E-20,X-RAY PULSATOR
0.004931115,2.05695E-20,X-RAY PULSATOR
0.139460211,8.48294E-14,X-RAY PULSATOR
1.169340685,2.27941E-12,X-RAY PULSATOR
0.007987205,2.43045E-20,X-RAY PULSATOR
0.00314867,1.75E-20,X-RAY PULSATOR
0.001830293,4.3422E-20,X-RAY PULSATOR
0.00377,6.554E-21,X-RAY PULSATOR
0.00321,,X-RAY PULSATOR
0.196543155,2.80483E-14,X-RAY PULSATOR
0.003597929,9.4997E-21,X-RAY PULSATOR
0.022699379,1.75993E-18,X-RAY PULSATOR
0.114371728,1.13951E-14,X-RAY PULSATOR
0.005440004,3.375E-18,X-RAY PULSATOR
0.001787502,4.4531E-20,X-RAY PULSATOR
1.244418596,7.1229E-15,X-RAY PULSATOR
0.166762292,1.68211E-14,X-RAY PULSATOR
0.002119068,2.161E-20,X-RAY PULSATOR
0.003054316,1.61886E-18,X-RAY PULSATOR
